iso639-2,iso639-3,iso639-5,iso639-1,ISO language name(s),Scope,Type,Other name(s)
aar,aar,,aa,Afar,Individual,Living,
abk,abk,,ab,Abkhazian,Individual,Living,Abkhaz
ace,ace,,,Achinese,Individual,Living,Acehnese
ach,ach,,,Acoli,Individual,Living,
ada,ada,,,Adangme,Individual,Living,Dangme
ady,ady,,,Adyghe; Adygei,Individual,Living,West Circassian
afa,,afa,,Afro-Asiatic languages,Collective,,
afh,afh,,,Afrihili,Individual,Constructed,
afr,afr,,af,Afrikaans,Individual,Living,
ain,ain,,,Ainu,Individual,Living,
aka,aka,,ak,Akan,Macrolanguage,Living,
akk,akk,,,Akkadian,Individual,Ancient,
alb* / sqi,sqi,,sq,Albanian,Macrolanguage,Living,
ale,ale,,,Aleut,Individual,Living,
alg,,alg,,Algonquian languages,Collective,,
alt,alt,,,Southern Altai,Individual,Living,
amh,amh,,am,Amharic,Individual,Living,
ang,ang,,,Old English (ca. 450–1100),Individual,Historical,
anp,anp,,,Angika,Individual,Living,
apa,,apa,,Apache languages,Collective,,Southern Athabaskan languages
ara,ara,,ar,Arabic,Macrolanguage,Living,
arc,arc,,,Official Aramaic (700–300 BCE); Imperial Aramaic (700–300 BCE),Individual,Ancient,
arg,arg,,an,Aragonese,Individual,Living,
arm* / hye,hye,,hy,Armenian,Individual,Living,
arn,arn,,,Mapudungun; Mapuche,Individual,Living,
arp,arp,,,Arapaho,Individual,Living,
art,,art,,Artificial languages,Collective,,
arw,arw,,,Arawak,Individual,Living,Lokono
asm,asm,,as,Assamese,Individual,Living,
ast,ast,,,Asturian; Bable; Leonese; Asturleonese,Individual,Living,
ath,,ath,,Athapascan languages,Collective,,Athabaskan languages
aus,,aus,,Australian languages,Collective,,
ava,ava,,av,Avaric,Individual,Living,Avar
ave,ave,,ae,Avestan,Individual,Ancient,
awa,awa,,,Awadhi,Individual,Living,
aym,aym,,ay,Aymara,Macrolanguage,Living,
aze,aze,,az,Azerbaijani,Macrolanguage,Living,
bad,,bad,,Banda languages,Collective,,
bai,,bai,,Bamileke languages,Collective,,
bak,bak,,ba,Bashkir,Individual,Living,
bal,bal,,,Baluchi,Macrolanguage,Living,Balochi
bam,bam,,bm,Bambara,Individual,Living,
ban,ban,,,Balinese,Individual,Living,
baq* / eus,eus,,eu,Basque,Individual,Living,
bas,bas,,,Basa,Individual,Living,Basaa
bat,,bat,,Baltic languages,Collective,,
bej,bej,,,Beja; Bedawiyet,Individual,Living,
bel,bel,,be,Belarusian,Individual,Living,
bem,bem,,,Bemba,Individual,Living,
ben,ben,,bn,Bengali,Individual,Living,
ber,,ber,,Berber languages,Collective,,Amazigh languages
bho,bho,,,Bhojpuri,Individual,Living,
bih,,bih,bh,Bihari languages,Collective,,
bik,bik,,,Bikol,Macrolanguage,Living,
bin,bin,,,Bini; Edo,Individual,Living,
bis,bis,,bi,Bislama,Individual,Living,
bla,bla,,,Siksika,Individual,Living,Blackfoot
bnt,,bnt,,Bantu languages,Collective,,
bod / tib*,bod,,bo,Tibetan,Individual,Living,
bos,bos,,bs,Bosnian,Individual,Living,
bra,bra,,,Braj,Individual,Living,Braj Bhāshā
bre,bre,,br,Breton,Individual,Living,
btk,,btk,,Batak languages,Collective,,
bua,bua,,,Buriat,Macrolanguage,Living,Buryat
bug,bug,,,Buginese,Individual,Living,
bul,bul,,bg,Bulgarian,Individual,Living,
bur* / mya,mya,,my,Burmese,Individual,Living,Myanmar
byn,byn,,,Bilin; Blin,Individual,Living,Bilen
cad,cad,,,Caddo,Individual,Living,
cai,,cai,,Central American Indian languages,Collective,,
car,car,,,Galibi Carib,Individual,Living,Carib
